,artist_name,track_name,release_date,genre,lyrics,len,dating,violence,world/life,night/time,shake the audience,family/gospel,romantic,communication,obscene,music,movement/places,light/visual perceptions,family/spiritual,like/girls,sadness,feelings,danceability,loudness,acousticness,instrumentalness,valence,energy,topic,age
82284,jermaine dupri,let's talk about it (feat. clipse),2019,hip hop,gettin groove like givin shit alright drummer drummer say drummer long time come drummer damn baby shit jeans mind hear track clipse question nigga hustler rock bigger rapper figure straight killa flood block glock neighborhood see thug stop cause waco district visit like diamonds color watch smother place jewel white bitch bring home choice balcony say say bring girl night sexin think come question jingle baby jingle baby wanna talk cars talk wanna talk house talk wanna talk jewel talk wanna talk money talk wanna talk chicks talk wanna talk hit talk wanna talk talk talk cash talk game rotate chrome get bigger girls wanna fuck nigga lyric commercial,109,0.084110066,0.000683527,0.000683527,0.038644187,0.000683527,0.000683527,0.000683527,0.23123642,0.441621066,0.000683527,0.000683527,0.000683527,0.000683527,0.051980719,0.000683527,0.000683527,0.939347991,0.753557419,0.377509415,0,0.815539984,0.661651095,obscene,0.014285714
82285,das efx,40 & a blunt,2019,hip hop,yeah yeah skunk hash house skunk hash representin sess sess sack biggity bang boom bamma bustin grandmother like cherries niggas wanna follow know style vary smoke like drink like fish rapper junkie gettin funky miss diss wanna spark blunt drink fuckin brew nigga weed smoker provoker joker style doper like toke blow smoke like dragon timberland boot fuckin jeans saggin pour liquor bust niggas missin tradition drink pissin mission easy rider smokin phillies white owls optimols flow better letter wetter niggas better shit fight lever goin know nigga lyric commercial,90,0.001196172,0.031820824,0.001196172,0.001196172,0.048010272,0.001196172,0.001196172,0.001196172,0.744513598,0.001196172,0.001196172,0.001196172,0.001196172,0.001196172,0.001196172,0.001196172,0.83645619,0.689741815,0.010641577,0,0.531121187,0.467450835,obscene,0.014285714
82286,das efx,microphone master,2019,hip hop,iggity come bust proceed slam cram understand rappers faze crazy messin book drayzie bigup jersey people wella hella swella tell get like markie matter weather wanna spark kickin rhyme gettin mine regular black benz blowin cellular high shit know sewer style shit grip cheap bury comin near fear hear cheer compare schoolin foolin speakin kid heapin freakin sewer style cause disaster better answer microphone master miggity microphone master super rhyme maker miggity microphone master super rhyme maker miggity microphone master super rhyme maker miggity microphone master super rhyme maker humdinger briggity bringin style thing singer flow behold higgity hold piece expanses stock skunk prop pop mansion lyric commercial,108,0.001253133,0.115684169,0.001253133,0.001253133,0.001253133,0.001253133,0.02738899,0.096071373,0.623396454,0.001253133,0.001253133,0.001253133,0.001253133,0.001253133,0.001253133,0.001253133,0.774721109,0.714380945,0.093774191,1.23E-05,0.557914262,0.660650062,obscene,0.014285714
82292,blackalicious,paragraph president,2019,hip hop,paragraph paralyzer rhythmic aristocrat mister gift twist cap swift fist fast fury worry switch bits fragment midget quit diss track spit facts grass green purple diplomat rap math halfbreed rhymer mean breathe rhyme heathen kidnap mental black hijack head intellect mind state arrow blast center crack mind gap blind eye send cry pencil utensil grab thine attention jitsu stab offend send rappin tavern tell paragraph president official hear cheer come paragraph president want thank have perform paragraph president special treat even ask america foremost young poet read latest poem lyric commercial,91,0.001422475,0.301827485,0.001422475,0.001422475,0.001422475,0.077022931,0.001422475,0.157723042,0.100973421,0.001422475,0.001422475,0.11053947,0.103738552,0.001422475,0.001422475,0.001422475,0.547276075,0.695510602,0.090159729,0.000541498,0.452802968,0.69068103,violence,0.014285714
82294,nappy roots,set it out,2019,hip hop,smoke bong bang crunk thong chain nutty song hand tryna player somethin drink skully take strong brain talkin dirty broad think till early mornin bout light blunt hell tryna cellaphone home hunnie silicone tighter stype sittin right plenty chrome strong game play yeaga like dance song gotta clear perm fade brush comb grow somethin drink somethin somethin grow somethin drink somethin somethin grow somethin drink somethin somethin grow drink grow somethin drink somethin somethin grow somethin drink somethin somethin grow somethin drink somethin somethin grow drink drink drink straight head stick wall thumbtack shoulda focus sack little blame chick look think fulla shit talkin broad think foolin nigga street game school chick lyric commercial,114,0.000611995,0.000611995,0.066420604,0.000611995,0.000611995,0.000611995,0.000611995,0.000611995,0.60115365,0.033767053,0.249056002,0.000611995,0.000611995,0.000611995,0.000611995,0.011770258,0.927434203,0.777683768,0.018774115,0,0.823784007,0.749741934,obscene,0.014285714
82295,nappy roots,kentucky mud,2019,hip hop,trunk funk cadillac thump loud skunk junk live trunk funk cadillac thump loud skunk junk live nappy boys travellin dirt road kentucky cadillac somethin like deville dub southbound head deville downtown takin flat hollow cave folks grey pound interstate straight blowin like freight train tryna catch road glasgow travel hassle shoot like castle government home crib pound weed couple freak city slick want slummin crumb trunk funk cadillac thump loud skunk junk live trunk funk cadillac thump loud skunk junk live kentucky damn right folk nuttin truck roll yeaga nuttin shure kentucky damn right folk nuttin block hold yeaga nuttin kentucky damn right folk nuttin truck roll yeaga nuttin shure lyric commercial,112,0.00122399,0.00122399,0.086269563,0.00122399,0.00122399,0.00122399,0.00122399,0.00122399,0.348923132,0.00122399,0.407031481,0.00122399,0.00122399,0.00122399,0.00122399,0.00122399,0.677244666,0.773786632,0.065962918,0,0.228153339,0.764757418,obscene,0.014285714
82296,nappy roots,my ride,2019,hip hop,skinny deville feelin easy like sunday morning steak egg livin rim lookin like blades play like pimp type nigga aint tint percent fish scale shotgun pass flip flop lookin drip drop shiiiine chrome double duce bitch stop drop ballin budget forth kentucky type niggas crack corn bucket ninety speak damn look dont touch commin nappy company vertical grill cadilac real skinny deville return like hell hell dont think nappy root comin stille prophet clutch fish scale yeaahh ride sittin spokes spokes paint straight honeycomb honeycomb lyric commercial,87,0.001349528,0.001349528,0.001349528,0.001349528,0.001349528,0.001349528,0.001349528,0.001349528,0.683468923,0.001349528,0.098438607,0.06305866,0.001349528,0.001349528,0.001349528,0.001349528,0.839705405,0.799169295,0.111444891,0,0.413643858,0.741733676,obscene,0.014285714
82297,tha alkaholiks,only when i'm drunk,2019,hip hop,drink stumble phone conjure bitch bone fuck need piss drink sing song like grandma grandma sittin hold turn beat go crazy knowin drink start talk shit hand better cause brain forget try rationalize cover eye getuhdamn drink need chunk better hunk funk getuhdamn drink need chunk better hunk funk yeah good dope freaky fresh hiphop fan crazy comin know gonna blow lyric commercial,63,0.001196172,0.001196172,0.001196172,0.001196172,0.085122612,0.001196172,0.062953044,0.001196172,0.474764182,0.058725039,0.139704834,0.001196172,0.001196172,0.001196172,0.001196172,0.021938313,0.799631756,0.711970874,0.198794376,0,0.706306678,0.667657288,obscene,0.014285714
82298,akinyele,take a lick,2019,hip hop,nunes akinyele come london take shit nice go fuck go fuck want fuck gonna pussy start talk wild shit say hook akinyele cap lowercase lick tonight motherfucking akinyele lay like head say come black dead suck dils look chick like bitch fuck deal feel begin appeal feel lick tonight zipper go pant hips thumb like father say ssss like shit dislike thumb like hitchiker ready fight instead chill look grill say lyric commercial,73,0.001074114,0.116848622,0.001074114,0.062227029,0.001074114,0.001074114,0.001074114,0.001074114,0.326835641,0.001074114,0.169613875,0.001074114,0.027740812,0.111181156,0.001074114,0.089224194,0.794216398,0.712304182,0.086645669,0,0.631079967,0.69068103,obscene,0.014285714
82299,boogie down productions,my philosophy,2019,hip hop,voice philosopher think deeply begin explain like instructions game insane fact kind rational ask dramatical white black pick punk jump attack krsone lead crew right face album cover hold pistol lover brother laugh cause defeat lecture number philosophy number poetry know philosophy artists learn flammable burn stop burnin learn earn respect cause collect expect rhyme like soft punk walk street jump style learn original everybody gonna wanna diss like stand south bronx sucka response think care know posse bronx real live walk correctly suckas like forget cause like champ record knock frauds second believe loose come tell juice produce create innovate higher level seckle play play target lyric commercial,109,0.000773994,0.126150611,0.080766014,0.000773994,0.000773994,0.000773994,0.032819628,0.191889834,0.36385183,0.000773994,0.066924475,0.038345518,0.000773994,0.000773994,0.000773994,0.000773994,0.88411134,0.494115837,0.040561286,0,0.72485573,0.835830709,obscene,0.014285714
82301,t.i.,dope boyz,2019,hip hop,need shawty shawty shawty shit need shawty right shawty noyd shawty better right nigga fuck trapp crack crumb time quarter half trapp break dim hipper anytime mind niggas bitch whine grind shack winter summer shine get plenty money candler road bankhead plenty room pay scar hard dank head dope game strong like pimp dead hear say buy yell weigh triple beam scale yeah look like touchy shawty stand round trapp think fuck shawty nigga taut get pay trapp song niggas trapp dope boyz trapp nigga thug nigga drug dealer nigga lyric commercial,92,0.001012146,0.122269528,0.001012146,0.03705116,0.053977844,0.001012146,0.001012146,0.001012146,0.542007728,0.071387601,0.09314146,0.025639028,0.001012146,0.001012146,0.001012146,0.001012146,0.750893534,0.686152347,0.030119508,0,0.281739489,0.61960774,obscene,0.014285714
