,artist_name,track_name,release_date,genre,lyrics,len,dating,violence,world/life,night/time,shake the audience,family/gospel,romantic,communication,obscene,music,movement/places,light/visual perceptions,family/spiritual,like/girls,sadness,feelings,danceability,loudness,acousticness,instrumentalness,valence,energy,topic,age
20029,runaway june,buy my own drinks,2019,pop,yeah try unfall apart think neon light real good start call couple friends stay guess go heart break mean gotta stay home yeah drink night light drop change jukebox dance stop thinkin bout drinkin bout need yeah drink tonight tonight tonight yeah drink tonight tonight tonight dive type walk see drink hand yeah say sweet glass gonna pass time yeah fine drink night light drop change jukebox dance stop thinkin bout drinkin bout need yeah drink tonight tonight tonight yeah drink tonight tonight tonight walk self door self medicate headache yeah boyfriend drink night light drop change jukebox dance time stop stop thinkin bout drinkin bout need yeah drink tonight tonight tonight yeah drink tonight tonight tonight drop change jukebox tonight tonight tonight thinkin bout drinkin bout dance tonight tonight tonight,131,0.000457666,0.000457666,0.000457666,0.319596692,0.124393278,0.000457666,0.011207358,0.000457666,0.228421259,0.000457666,0.195605417,0.052770289,0.000457666,0.000457666,0.02924808,0.000457666,0.676161594,0.801246058,0.068272157,0,0.967023908,0.900897806,night/time,0.014285714
20030,dean lewis,stay awake,2019,pop,trace finger right leave drink walk sudden bring problems guess wanna talk cause bigger harder fall crash floor say leave morning come pack feel go stay awake stay awake stay awake hold stay awake stay awake stay awake memories pack box stack door cause bigger harder fall crash floor feel breath lips walk door hand start slip felt like feel go stay awake stay awake stay awake hold stay awake stay awake stay awake look mirror try figure wonder go wrong like daylight come hold say leave morning come pack feel go stay awake stay awake stay awake hold stay awake stay awake stay awake feel go stay awake stay awake stay awake feel go stay awake stay awake stay awake,121,0.000469925,0.000469925,0.000469925,0.023337067,0.000469925,0.000469925,0.039206822,0.000469925,0.000469925,0.000469925,0.093854024,0.000469925,0.000469925,0.000469925,0.724903899,0.10267744,0.716235243,0.73158475,0.338352749,3.51E-05,0.575432811,0.829824515,sadness,0.014285714
20035,nav,habits,2019,pop,wheezy outta yeah money know drug want know drug want tell tell take right match double know know drink think need think addict problems lot habit tryna solve think addict problems talk lose thoughts go lose think know songs songs room yeah say yeah think habit yeah nowadays perky last focus cabbage gotta refill prescription addy uppers dosin makin magic long drug involve money know drug want know drug want tell tell take right match double know know drink think need think addict problems lot habit tryna solve think addict problems talk pills searchin like dope fiend hard jeans smoke blunt room look like smoke screen player like kobe ballin team lookin juice vegas bucksy gamble life cause hoe fuck addy henny touch buy slow shit pricey break look club look gotta sure gang right cause walkin money know drug want know drug want tell tell take right match double know know drink think need think addict problems lot habit tryna solve think addict problems talk,166,0.000526316,0.000526316,0.000526316,0.000526316,0.067681536,0.000526316,0.000526316,0.475881187,0.374165144,0.024404284,0.000526316,0.000526316,0.000526316,0.000526316,0.000526316,0.000526316,0.745478176,0.734635797,0.230922923,0,0.440436933,0.534519997,obscene,0.014285714
20041,ruel,painkiller,2019,pop,painkiller brain get bitter close close seat parkside livin feel like billion teenage cynical know point livin heart get break drivin road wait headon collision springtime funeral miss heartbreaks headaches doctor say diagnose shit days mistake fine fine cause painkiller brain get bitter close miserable take forever brain better close close window seat plane start leavin miss streets knees bleedin homesick veteran leave lookin heartbreaks headaches doctor say diagnose shit days mistake fine fine cause painkiller brain get bitter close miserable take forever brain better close close leave cause barely holdin reason breathin cause painkiller brain get bitter close miserable take forever brain better close oohwoah close know hear close yeah close close close,114,0.000657895,0.065810361,0.000657895,0.060212405,0.027329944,0.000657895,0.114292651,0.000657895,0.344818586,0.000657895,0.13754395,0.000657895,0.000657895,0.000657895,0.180798817,0.020830743,0.664247807,0.747352768,0.105420789,0,0.428070899,0.414396125,obscene,0.014285714
20043,a$ap ferg,wam,2019,pop,yeah yeah yeah flavor bitch delicious motherfuckers lay ditch kill rappers precision damn rock decision right friends make millions cause knowin vision entertainers crash collision destine money great division finna food dish table starve yeah nigga ball right go dome sharpie yeah work look like right better play like carti smoke yeah game atari movin like kentucky neck hoppin yeah touch jawn skin light skin wake today skrrt right ferg tell need watch bling blaow know ones color drop skrrt skrrt gettin money take bet check material hella fresh flavor bitch delicious yeah motherfuckers lay ditch right kill rappers precision rock decision right friends make millions cause knowin vision entertainers crash collision destine money great division damn finna food dish key mansion yeah diamonds like dancin wonder bitch catch tantrum right helicopter golf course land right house year crew yeah crew leave mink gator shoe swear shit feel like neck hoppin yeah touch jawn skin light skin wake today skrrt ferg tell need watch bling blaow know ones color drop skrrt skrrt gettin money take bet check material hella fresh yeah,181,0.000501253,0.12890473,0.028825459,0.000501253,0.160262597,0.000501253,0.000501253,0.000501253,0.578793522,0.000501253,0.000501253,0.032960654,0.030062989,0.000501253,0.000501253,0.034175012,0.839705405,0.793785093,0.067770148,0,0.093157461,0.626614965,obscene,0.014285714
20046,ariana grande,make up,2019,pop,like fuck cause screamin wanna break know bout yeaheheh head ruin makeup yeaheheh yeaheheh head ruin makeup yeaheheh energy attitude coincide stayin tonight bring right sorryinabox pop surprise surprise yeaheheh head ruin makeup yeaheheh yeaheheh head ruin makeup yeaheheh promise kiss lips stick shut argument eyeliner look highlight life like fenty beauty know yeaheheh head ruin makeup yeaheheh yeaheheh head ruin makeup yeaheheh stay cause like mood vibe look match attitude dream dream right right work time yeaheheh head ruin makeup yeaheheh head ruin makeup yeaheheh head ruin makeup yeaheheh ahead ruin makeup yeahyeah yeahyeah yeahyeah yeahyeah yeahyeah yeahyeah yeahyeah yeahyeah uhhuh,102,0.00122399,0.310424097,0.066709206,0.147610435,0.00122399,0.00122399,0.037636683,0.00122399,0.184997377,0.00122399,0.00122399,0.00122399,0.00122399,0.177255295,0.00122399,0.00122399,0.65991552,0.776453093,0.084738037,1.50E-06,0.467230008,0.714705805,violence,0.014285714
20047,gucci mane,ice (feat. gunna & lil baby),2019,pop,walk talk days days days think things forget time lover think risk days days days afraid live life song lose long days corner stone count time quarter tone friend believe want days corner stone count time quarter tone till friend confront failure aware,43,0.001461988,0.001461988,0.609969565,0.001461988,0.001461988,0.001461988,0.036161158,0.115468312,0.001461988,0.035456089,0.109866679,0.001461988,0.001461988,0.001461988,0.001461988,0.001461988,0.865699123,0.773248212,0.193774291,0,0.37139324,0.520505545,world/life,0.014285714
20050,drake,draft day,2019,pop,watch watch look look watch watch yeah look look yeah draft manziel years later draft wiggins fuck bitch stay winnin know know yeah suit tie yellin guy know know know laugh stop darkest probably gettin better live shit aside sure people get brunch qatar royals know real niggas fall loyal eggin gonna crack prove hardboiled night try oyster growin quick know shit singin song know spit manifest know write purpose know shittin past follow move realize leave shit pick like rapper yeah offense cause know nigga focus make record gettin bigger hit miss marry folk tell suite cause comin home hear talk crazy know shit sound snap booth body know somalis wallahi donuts coffee lobby gotta tell chill sprite payroll live okay go play like roids canseco oakland shout think eighth flow watch paint flow hate signin deal lawyer heavy load game turn fuck happen soandso worry bout bitch fashion missin action notice missin hunger game shit district yeah mean real girl know know know sidebar leave beat fuck niggas loop lie draft manziel years later draft wiggins fuck bitch stay winnin know know yeah suit tie yellin guy know know know,192,0.000407997,0.000407997,0.041800042,0.000407997,0.050233969,0.000407997,0.000407997,0.311366527,0.477225203,0.034500501,0.000407997,0.000407997,0.000407997,0.029282319,0.014400447,0.000407997,0.662081664,0.816962798,0.032328346,0,0.556883759,0.810804902,obscene,0.014285714
20052,bts,dionysus,2019,pop,sippin tippin 티르소스 grippin eatin style kill steal illest 디오니소스 티르소스 크리스탈 찰랑이는 fool dunno dunno dunno 보여줄게 아이비와 party party sing drink 태어나지 okay ready 예술가에 shoot shots 예술가에 shoot shots sippin tippin 티르소스 grippin eatin style kill steal illest stack break thyrsus 태어나네 night come mumble mumble mumble night come tumble tumble tumble studio를 bass drum go like party party sing drink 태어나지 okay ready 예술가에 shoot shots 예술가에 shoot shots 어디든지 stadium party kpop 아이돌로 artist artist artist 아이돌이든 예술가이든 과음이지 yeah 싸움이지 yeah 들어올리고 shoot ready ready hype come 예술가에 shoot shots 예술가에 shoot shots sippin tippin 티르소스 grippin eatin style kill steal illest sippin tippin 티르소스 grippin eatin style kill steal illest,117,0.001119821,0.224269275,0.001119821,0.085895483,0.046008593,0.001119821,0.001119821,0.001119821,0.564797516,0.06335164,0.001119821,0.001119821,0.001119821,0.001119821,0.001119821,0.001119821,0.476876422,0.843217188,0.040159679,0,0.581615829,0.910908128,obscene,0.014285714
20056,beyoncé,before i let go,2019,pop,world fuck niggas yeah clear right yeah forget know wanna sure right good time hurt yeah shame foolish wanna know wanna sure bright yeah yeah yeah know thank rise shin know nothin nothin woah pull coachella pull boot feather pull bring squad squad black black bandanas squad dussé champagne champagne damn thing damn thing dirty dirty singin dancin rain leave wanna good time turn turn kick slide twirl right drop cross legs turn clap shuffle leave glide drop drop floor floor bring clap roll roll step step step step step kick stomp step swag right surf leave work middle hurt little woah woah woah woah woah bbbefore woah woah woah woah woah bbbefore,113,0.000666223,0.000666223,0.042754993,0.028942076,0.089456781,0.016045969,0.000666223,0.110900831,0.407250936,0.000666223,0.156153875,0.077110503,0.000666223,0.000666223,0.000666223,0.000666223,0.705404527,0.775145502,0.068874567,0,0.423948887,0.842837934,obscene,0.014285714
