,artist_name,track_name,release_date,genre,lyrics,len,dating,violence,world/life,night/time,shake the audience,family/gospel,romantic,communication,obscene,music,movement/places,light/visual perceptions,family/spiritual,like/girls,sadness,feelings,danceability,loudness,acousticness,instrumentalness,valence,energy,topic,age
70195,michael franti & spearhead,show me your peace sign,2019,reggae,fuck fuck fuck fuck give give give give reason baby wing trouble things write letter dear future wife bring emptiness life better go yeah feel alive better go yeah feel alive hold like touch like fuck fuck burn hurt fuck fuck fuck fuck better go yeah feel alive better go yeah feel alive hold like touch like fuck fuck burn hurt fuck fuck better go yeah feel alive better go yeah feel alive,73,0.015327444,0.062539111,0.153909952,0.000720981,0.084154776,0.000720981,0.058592906,0.000720981,0.365850055,0.000720981,0.000720981,0.035958832,0.009649267,0.000720981,0.016662332,0.1908665,0.605761941,0.71912417,0.129517198,9.92E-06,0.74649629,0.687677933,obscene,0.014285714
70196,vicente garcia,san bá,2019,reggae,bring hammer pound nail drag coffin hell,7,0.013157895,0.763157883,0.013157895,0.013157895,0.013157895,0.013157895,0.013157895,0.013157895,0.013157895,0.013157904,0.013157895,0.013157895,0.013157895,0.013157895,0.013157895,0.013157895,0.889526698,0.712637489,0.649598042,0.000340081,0.713520198,0.687677933,violence,0.014285714
70208,iya terra,follow your heart (feat. zion thompson from the green),2019,reggae,wish atlas path feel like go astray know long hard journey go wouldn heart guide focus mission step time analyze vision fall line know gonna okay word ring true want feel spirit darkest days follow heart days hard remember purpose long learn journey season reason follow heart follow heart feel follow heart cause everybody look future want cause crumble tomorrow feel sorrow wonder cause know change near afraid move know grow gonna stop know feel like like remember stay strong weather follow heart days hard remember purpose long learn journey,90,0.000701754,0.000701754,0.363111802,0.06229435,0.015052034,0.000701754,0.000701754,0.094668511,0.000701754,0.000701755,0.000701754,0.000701754,0.014517111,0.085850408,0.182953187,0.088260588,0.759558107,0.751378099,0.047589405,4.03E-05,0.87840066,0.731723353,world/life,0.014285714
70209,elephant man,opera wine,2019,reggae,feel real comfortable cause dizaster tell cool tell blank beat rhyme heart greek motherfucker need drop grab harp thesaurus sound like ugliest dinosaur jurassic beat asian latino versions loser send goomba want koopa cause future coast mobbin admit give birth battle rappers skin problems know crutch line hold start rhyme goddamn know face look like look straight summer,58,0.001547988,0.001547988,0.001547988,0.001547988,0.001547988,0.001547988,0.001547988,0.110634148,0.543784641,0.054263946,0.001547988,0.001547988,0.001547988,0.183885248,0.062008696,0.001547988,0.471461064,0.796400277,0.651606076,0,0.601195383,0.937936,obscene,0.014285714
70212,los cafres,revolution,2019,reggae,know mean revolution take solution fight oppression batter depression ready stand fight right revolution ready stand fight like soldier call choose call choose fight right fight time ready stand fight right revolution ready stand fight like soldier call choose call choose wanna live live live live live live forever gotta live live live live live forever fight right fight time live love share care pay accord work gotta live live live live live live forever live live live live live forever live love share care revolution revolution revolution revolution revolution revolution revolution revolution,93,0.000692521,0.219876321,0.540929478,0.141634544,0.000692521,0.000692521,0.029829441,0.000692521,0.000692521,0.000692521,0.000692521,0.000692521,0.000692521,0.000692521,0.000692521,0.000692521,0.756308892,0.715944927,0.102408737,3.72E-06,0.928895301,0.573560255,world/life,0.014285714
70215,skip marley,enemy,2019,reggae,step enemy energy thief recipe see frenemies search remedy therapy lord crown crown remember likkle pickney inequity life pretty cause nuff wickedly remedy frenemies agree disagree people tell tryna step enemy energy thief recipe see frenemies search remedy therapy lord crown crown struggle trouble blame knock lock reason rhyme predicament knees pray time kill bring pain babylon turn fool like tool lessons come heartache school tell tryna step enemy energy thief recipe see frenemies search remedy therapy lord crown crown,80,0.001349528,0.088070087,0.338201306,0.001349528,0.001349528,0.168819597,0.001349528,0.001349528,0.384666094,0.001349528,0.001349528,0.001349528,0.001349528,0.001349528,0.001349528,0.001349528,0.574352865,0.79983591,0.003954823,0,0.606347898,0.811805934,obscene,0.014285714
70216,govana,loyalty,2019,reggae,yeah breda breda thing breda breda thing loyalty bear till loyalty know real wass blind badmind crep elevation step determination pree face everyday bush face gorill place carrot gold plate drip open gate pree house land youth medz stop youth badmind brain wass blind badmind crep elevation step determination pree face weed blem hennessy pour grind fren enemy watch peep fence hold vibes fren pitbull pitbull dont jump cross fence link wass blind badmind crep elevation step determination pree face carm fan loyalty royalty press govan breda breda thing wass blind badmind crep elevation step determination pree face,98,0.001461988,0.706463906,0.001461988,0.001461988,0.033257285,0.001461988,0.001461989,0.13753067,0.001461988,0.001461988,0.001461988,0.001461988,0.001461989,0.001461988,0.001461988,0.036141061,0.584100509,0.76571033,0.32429651,0,0.845424567,0.70369445,violence,0.014285714
70217,eek-a-mouse,controversial song,2019,reggae,sight wake dream give life vile beneath die breed hate kill world kill victim violence shut breath lifeless break silence fall apart victim violence shut breath lifeless chase righteous fake plastic life waste years lose inside diabolic fear feel fault fault feel drain world drain victim violence shut breath lifeless break silence fall apart victim violence shut breath lifeless chase righteous victim violence shut breath lifeless break silence fall apart victim violence shut breath lifeless chase righteous break silence fall,80,0.001074114,0.48274171,0.125014938,0.001074114,0.001074114,0.001074114,0.001074114,0.001074114,0.001074114,0.001074114,0.001074114,0.001074114,0.001074114,0.001074114,0.37505753,0.001074114,0.722733673,0.726200549,0.040360482,2.00E-06,0.758862325,0.5625489,violence,0.014285714
70222,vybz kartel,in stock,2019,reggae,hotter rest better rest hotter rest gyal test light stop noise lock door knee haffi score balon wine watch goal gyal queen wife whore money scream right role couldn free night hole sace sace dior dior chanel chanel tattoo tongue bore gyal hotter hotter rest whow gyal better better rest dutty gyal gyal cyan test whow whine baby kick foot stock tight right gyal stock good underneath gyal stock nice pumpum stock kick foot stock tight right stock good underneath gyal stock nice pumpum gyal stock gyal disease hole cure settle beat rider sure higher eagle floor fashion beat style little diva know couture search body duice cure tour revoir bonjour chanel chanel tattoo tongue bore gyal hotter hotter rest whow gyal better better rest dutty gyal gyal cyan test whow,131,0.020920721,0.157725998,0.000923361,0.000923361,0.000923361,0.000923361,0.000923361,0.000923361,0.372100818,0.000923361,0.341583634,0.075382862,0.020282273,0.000923361,0.000923361,0.000923361,0.646918661,0.767735815,0.482931208,0,0.782563891,0.87186787,obscene,0.014285714
70224,kash'd out,gimme love,2019,reggae,sound engines drone mind free roam time shift discover entry plan mind bend finger fold entwine dream unknown time shift discover entry plan stay cross sky come sail slow engines stall eye catch sync explode time shift discover entry plan time shift collide energy ways stay cross sky come sail play dream cross space time stay,56,0.00150376,0.00150376,0.19058273,0.337774376,0.001503759,0.001503759,0.001503759,0.001503759,0.001503759,0.053080623,0.001503759,0.303097502,0.031506379,0.001503759,0.001503759,0.001503759,0.740062818,0.729764377,0.012147603,0,0.721764221,0.706697547,night/time,0.014285714
