,artist_name,track_name,release_date,genre,lyrics,len,dating,violence,world/life,night/time,shake the audience,family/gospel,romantic,communication,obscene,music,movement/places,light/visual perceptions,family/spiritual,like/girls,sadness,feelings,danceability,loudness,acousticness,instrumentalness,valence,energy,topic,age
54102,kongos,tomorrow,2019,blues,sit wait fall watch till leave wait stay till control watch tell tell plan sit wait fall toll tomorrow time borrow easy eye deceive tomorrow word hollow word leave lie believe tomorrow tomorrow sleep sleep smile heart break free awake watch wheel break cause peace selfmade free awake sit wait fall watch till leave wait stay till control watch tomorrow time borrow easy eye deceive tomorrow word hollow word leave lie believe tomorrow tomorrow sleep sleep smile heart break free awake watch wheel break cause peace selfmade free awake,89,0.000649773,0.000649773,0.073736019,0.265857778,0.000649773,0.000649773,0.000649773,0.04508824,0.000649773,0.000649773,0.047403803,0.000649773,0.078229608,0.000649773,0.452332817,0.000649773,0.341492473,0.628361921,0.688754708,0.102226721,0.260098928,0.384365157,sadness,0.014285714
54105,jack white,jack white on 'sunday driver',2019,blues,friday acdc tame impala interpol steely alesso alabama shake ride azaelia bank fly lotus raekwon ghostface killah lykke snake caribou terje olsens stone natured squarepusher kiesza action gorgon city reverend horton heat esso mensa erol alkan kele cloud nothings key krates tong absoul haerts eagulls allahlas risk malinchak hopkins heldens hemsworth bjork desert punk band marques ghost saber tooth tiger rakas saturday white weeknd axwell ingrosso altj ratatat hozier flosstradamus religion sbtrkt twig creator father drug deorro jewel tycho faker kasabian drive like swan milky toro jungle world punx clean bandit glass animals blood wonderland gaslamp killer experience loco dice tenaglia antemasque parquet court gramatik light yellow claw tale yelle mcmahon phox stpaul break bone cashmere nortec collective present bostich fussible tourist booker koma perfume genius jamestown revival sun ruen brothers bixel boys weaver radkey coast ribbon break sunday machine kaskade guetta diamonds tantrums brand madeon stromae kygo odesza gesaffelstein circa survive desaparecidos solveig dumont demarco build spill panda kaytranada rhab stlucia dirty south tiger woods dubfire sturgill simpson chicano batman saint motel orwells crib tini klock night terrors,179,0.001697793,0.323864351,0.001697793,0.001697793,0.001697793,0.001697793,0.001697793,0.001697793,0.001697793,0.001697793,0.386435318,0.124613105,0.139620332,0.001697793,0.001697793,0.001697793,0.573269793,0.124528882,0.582328898,0,0.703215169,0.096067865,violence,0.014285714
54108,the coasters,sweet georgia brown,2019,blues,chick yellow dress sweet girl best sweet texas like sweet chicks spot sweet yeah cause somethin sweet go walk gotta want girl talk claim lam sweet stop traffic main sweet drive young lads insane sweet gonna leave long hangin claim lam sweet,42,0.001697793,0.001697793,0.001697793,0.001697793,0.037937577,0.001697793,0.32104786,0.001697793,0.20547773,0.001697793,0.177794603,0.001697793,0.001697793,0.134995709,0.001697793,0.001697793,0.662081664,0.739225188,0.512047703,0,0.47135202,0.345324899,romantic,0.014285714
54114,shovels & rope,the wire,2019,blues,shit disappointment time time prone swing mirror interrupt slow talkers need like fail walk wire fail walk wire fail walk wire fail walk wire nothin sorry better beggar knees fail walk wire fail walk wire fail walk wire fail walk wire weigh weigh measure measure life suffer pleasures lay lay take take song sound heart break listen listen fail walk wire fail walk wire fail walk wire fail walk wire fail walk wire fail walk wire fail walk wire fail walk wire,82,0.00093985,0.213705627,0.00093985,0.00093985,0.00093985,0.00093985,0.00093985,0.00093985,0.087962301,0.070650708,0.00093985,0.00093985,0.00093985,0.00093985,0.595254379,0.00093985,0.536445359,0.747404046,0.006243982,0,0.622835944,0.554540642,sadness,0.014285714
54117,little hurricane,one night at a time,2019,blues,turn time mind night time night time babe alright forever wish eye luck live little things want turn time mind night time night time babe mind forever look live believe good vibes believe sign believin right cause future bright think night turn time look baby turn time mind night time babe forever wish eye luck live little things want,59,0.071906624,0.000907441,0.268171179,0.410498251,0.000907441,0.035552288,0.000907441,0.000907441,0.000907441,0.000907441,0.000907441,0.122304072,0.000907441,0.000907441,0.000907441,0.043205201,0.68699231,0.671076584,0.286143862,0.00194332,0.510511129,0.555541675,night/time,0.014285714
54119,the heavy,fire,2019,blues,try hard impossible hold weigh head mercury rise read touch flame bring relief say feel like burn hole soul self friends recognize lose weight think straight dead eye smoke wrong things lava start burn saturday seal fate guess learn say feel like burn hole soul know doin burn hole soul hear somebody scream hear somebody scream burn hole soul hear somebody scream hear somebody scream hear somebody scream hear somebody scream,71,0.000848896,0.575119571,0.000848896,0.000848896,0.000848896,0.000848896,0.000848897,0.17537363,0.038176795,0.000848897,0.000848896,0.059343835,0.000848896,0.000848896,0.000848896,0.140101618,0.515866999,0.848191165,0.000129518,0.002145749,0.511541632,0.95595458,violence,0.014285714
54120,rival sons,look away,2019,blues,watch incision children television reflection protection infection hear call recognize voice say look away look away look away watch distribution mass confusion spread institution sell inclusion illusion instead think solution hear call recognize voice say look away look away look away problem somebody pain problem somebody pain problem somebody pain hear call recognize voice say look away look away look away hear call recognize voice say look away look away look away,72,0.000974659,0.000974659,0.000974659,0.000974659,0.000974659,0.000974659,0.000974659,0.089195422,0.000974659,0.217592758,0.000974659,0.000974659,0.062804812,0.193932355,0.366617731,0.057186358,0.290588108,0.802374176,0.012950816,0.01437247,0.129225062,0.744736773,sadness,0.014285714
54128,shovels & rope,i'm comin' out,2019,blues,comin comin comin comin feel small feel weak bare shakin knees like newborn clean pure standin road unsure fight flight springtime taste blood mouth comin comin comin comin metamorphosis test cosmic tear walk right change flesh change mind change time worm wing work spread wing comin battle best suit taste blood mouth comin comin comin comin,56,0.001253133,0.300668093,0.124045175,0.001253133,0.001253133,0.001253133,0.001253133,0.001253133,0.470602575,0.001253133,0.001253133,0.044163764,0.001253133,0.001253133,0.001253133,0.042976533,0.63933716,0.733302566,0.08785049,3.72E-06,0.840272053,0.815810063,obscene,0.014285714
54130,delbert mcclinton,let's get down like we used to,2019,blues,couch bring smirnoff come scooch wanna kick shoe laugh loud number phone call number number tell lose girl night belong like cook somethin light fuse groove bust like batch famous margaritas hand knees turn takin goofy picture send friends christmas like cook somethin light fuse lick pick blue like stay night long choose like like,55,0.001283697,0.001283697,0.001283697,0.078940062,0.001283697,0.001283697,0.001283697,0.001283697,0.321180948,0.164022924,0.001283697,0.093007657,0.084943178,0.19555593,0.001283697,0.001283697,0.61226037,0.759428762,0.614457444,1.99E-05,0.596042869,0.651640772,obscene,0.014285714
54132,thee oh sees,heartworm,2019,blues,talk talk feel fuck grab shard cover cut world fuck worm swim gut thing talk talk feel fuck grab shard cover cut world fuck worm swim gut thing,28,0.002506266,0.002506266,0.103413907,0.002506266,0.002506266,0.002506266,0.002506266,0.002506266,0.644846138,0.002506266,0.002506266,0.002506266,0.002506266,0.002506266,0.002506266,0.114620582,0.21044081,0.830525857,2.99E-05,0.973684211,0.418796373,0.675665546,obscene,0.014285714
