,artist_name,track_name,release_date,genre,lyrics,len,dating,violence,world/life,night/time,shake the audience,family/gospel,romantic,communication,obscene,music,movement/places,light/visual perceptions,family/spiritual,like/girls,sadness,feelings,danceability,loudness,acousticness,instrumentalness,valence,energy,topic,age
39369,locash,feels like a party,2019,country,feel like party feel like party everybody show gotta park truck know party crowd speakers bang yeah place good thing decide roll tonight wanna miss feel like party feel like damn good time bunch country girls road boys drink sing pour cold cause bout leave feel like party feel like party wanna hand hand wanna hand hand time beat drop goin goin know stop come right feel like party feel like damn good time bunch country girls road boys drink sing pour cold cause bout leave feel like party feel like party look like party sound like party party taste like party shake like party party feel like party feel like damn good time bunch country girls road boys drink sing pour cold cause bout leave feel like party feel like party wanna hand hand wanna hand hand,138,0.000395726,0.000395726,0.000395726,0.037818183,0.009343314,0.000395726,0.000395726,0.000395726,0.417930074,0.03166422,0.194062164,0.000395726,0.000395726,0.112300363,0.000395726,0.135767109,0.532113073,0.786247212,0.055621542,0,0.75370981,0.879876128,obscene,0.014285714
39370,george strait,some nights,2019,country,take road lose hear wind fort heart hard caliche dirt days better mother gonna days wanna wanna start nights guess bother hell pick phone pride leave swallow tomorrow days better mother gonna days wanna wanna start nights days better mother gonna days wanna wanna start days better mother gonna days wanna wanna start nights nights take road lose,58,0.000956938,0.000956938,0.336963365,0.000956938,0.000956938,0.000956938,0.000956938,0.000956938,0.000956938,0.040871377,0.175341656,0.000956938,0.074096764,0.000956938,0.095879063,0.000956938,0.524531572,0.752788247,0.279115742,1.54E-05,0.31780709,0.632621159,world/life,0.014285714
39374,aaron watson,trying like the devil,2019,country,golden halo bandana blue jeans know good good good seldom fool play try best burn soak gasoline think learn learn think weigh heavy heart mind stumble step like wino walk line like tightrope walk heaven eye hell solid sink sand try like devil good beware break glass stare window soul judge bare know think weigh heavy heart mind stumble step like wino walk line tightrope walk heaven eye hell solid sink sand try like devil good fee crumb fall floor saint walk pearly lord sinner crawl backdoor think weigh heavy heart mind stumble step like wino walk line tightrope walk heaven eye hell solid sink sand try like devil good solid sink sand lord try like devil,117,0.000598086,0.356029085,0.000598086,0.000598086,0.000598086,0.037512258,0.000598086,0.118840142,0.000598086,0.016143918,0.000598086,0.125322438,0.000598086,0.076788561,0.192146342,0.070638307,0.51695007,0.746968182,0.010029127,0.000364372,0.618713932,0.79679045,violence,0.014285714
39377,granger smith,damn strait,2019,country,humid tell summer texas guy hook classic strait ride home today right mind leave damn strait piss peddle tearin right drive drive damn strait couple county reds neon dive damn strait wanna bartender comin night cause droppin quarter juke nonstop playin song steel whiskey somethin maybe wrong livin line right mind prayin late damn strait damn strait sing amarillo damn strait tip band play dance real close damn strait tryna goin movin droppin quarter juke nonstop playin song steel whiskey somethin maybe wrong livin line right mind prayin late damn strait know heart hear life hard tonight droppin quarter juke nonstop playin songs steel whiskey somethin maybe wrong cause livin line right mind prayin late think damn strait damn strait,120,0.000692521,0.000692521,0.000692521,0.301387069,0.000692521,0.000692521,0.000692521,0.000692521,0.457931286,0.120357967,0.091297002,0.000692521,0.000692521,0.000692521,0.019331384,0.000692521,0.51695007,0.803425378,0.034537183,0,0.538334707,0.848844128,obscene,0.014285714
39396,midland,cheatin’ songs,2019,country,jacket smell like cigarettes hat smoke hangin say know maybe crazy maybe maybe guilty maybe catch bringin cheatin songs kinda hurt get singin somethin circa lyin lyin bringin ring slip pocket tight fittin jeans fashion doin somebody wrong bringin cheatin songs home anymore puttin little black dress wearin maybe jealous wouldn lookin bringin cheatin songs kinda hurt get singin somethin circa lyin lyin bringin ring slip pocket tight fittin jeans fashion doin somebody wrong bringin cheatin songs steel guitars style like tear fallin smile yeah country music love fool run cool bringin cheatin songs kinda hurt get singin somethin circa lyin lyin bringin ring slip pocket tight fittin jeans fashion doin somebody wrong bringin cheatin songs bringin cheatin songs,119,0.00074129,0.00074129,0.00074129,0.00074129,0.015049254,0.0112292,0.044695345,0.19293624,0.322113043,0.168354107,0.097072428,0.00074129,0.00074129,0.00074129,0.091809204,0.04932828,0.716235243,0.772632874,0.04317173,4.04E-05,0.690849134,0.723715095,obscene,0.014285714
39400,caylee hammack,family tree,2019,country,sister smoke camels county week clean sneak smell like nocotine momma burn chicken tupperware party tonight daddy asleep chair blare stats halftime whoaohohohoh real life real funny whoaohohohoh money sing little higher hang want stay home matter cause root deep gonna shake family tree whoaohohohoh whoaohohohoh grandma sell maytag dryer post uncle bail hang laundry till snow hell cousins like sunday drive roll luck lunch high school high whoaohohohoh real life real funny whoaohohohoh money sing little higher hang want stay home matter cause root deep gonna shake family tree gonna shake family tree whoaohohohoh whoaohohohoh problems everybody alright plan plan gettin problems hell sing little higher hang want stay home matter cause root deep gonna shake family tree gonna shake family tree whoaohohohoh real life real funny whoaohohohoh money gonna shake family tree whoaohohohoh root deep whoaohohohoh nothin nothin gonna shake gonna shake family tree,146,0.000487329,0.000487329,0.034798607,0.02065131,0.000487329,0.100724009,0.000487329,0.000487329,0.343473152,0.062540147,0.095649396,0.072524911,0.122608415,0.009178751,0.000487329,0.000487329,0.675078523,0.795990052,0.015360457,0.002135628,0.531121187,0.854850322,obscene,0.014285714
39405,muscadine bloodline,put me in my place,2019,country,change hang run tie meet question stand right foot foot right lie leave selfish unprepared blame scar believe girl need heart break place friends list reason leave tonight argue say cave time cause different kind feel hit right foot foot right lie leave selfish unprepared blame scar believe girl need heart break place tell foot foot feel lie promise leave selfish unprepared blame scar believe girl need heart break place yeah heart break place,74,0.000809717,0.000809717,0.052038811,0.074338702,0.057090498,0.000809717,0.000809717,0.15642925,0.000809717,0.000809717,0.169472771,0.000809717,0.000809717,0.062717777,0.418195592,0.000809717,0.65991552,0.623362305,0.885542054,3.91E-06,0.395094806,0.427409545,sadness,0.014285714
39410,jake owen,señorita,2019,country,bar umbrella drink cars chop drop ridin street sand feet thinkin leave feelin word speak learn girl teach yeah señorita need lips like shoot tequila cómo dice think stay leave seat airplane thing lookin night mamacita movin paradise leave señorita señorita gonna time dance amor gonna loco night good wanna leave señorita need lips like shoot tequila cómo dice think stay leave seat airplane thing lookin night mamacita movin paradise leave señorita señorita sand feet lookin thinkin leave thinkin need thinkin word speak loca para learn girl teach señorita need lips like shoot tequila shoot tequila cómo dice think stay leave seat airplane thing lookin night toda noche mamacita movin paradise hasta paraíso leave señorita señorita,116,0.000711238,0.000711238,0.000711238,0.089046761,0.053257113,0.000711238,0.038926706,0.146401167,0.339348946,0.000711238,0.244991294,0.000711238,0.000711238,0.05226612,0.000711238,0.000711238,0.649084805,0.769863857,0.626505649,0,0.886644683,0.711702708,obscene,0.014285714
39416,ray fulcher,life after your leavin',2019,country,book open brand chapter knock couple years dust bass tracker jones jennys long mighta wake wagon rid sayin memory track pour little salt pain sayin hurt little walkin talkin proof like drink drinkin light long go tunnel life leavin reach picture dash throw silverado sick lookin cuttin tomorrow burn bridge heartache ville leave spot clock stand closin movin sayin memory track pour little salt pain sayin hurt little walkin talkin proof like drink drinkin light long go tunnel life leavin yeah heart beatin breathin finally gettin think maybe goin crazy rest peace sayin memory track pour little salt pain sayin hurt little walkin talkin proof like drink drinkin babe light long go tunnel baby life leavin babe light long go tunnel baby life leavin yeah alive surprise,127,0.052757809,0.000554017,0.10639544,0.061362172,0.021606648,0.074283636,0.000554017,0.000554017,0.309468417,0.000554017,0.142214126,0.062658006,0.000554017,0.000554017,0.137425165,0.026842431,0.602512726,0.773094377,0.247991213,4.91E-06,0.722794724,0.864860644,obscene,0.014285714
39418,midland,lost in the night,2019,country,california sunset walk cigarette remember dance holiday finger belt loop lips skin shoot star satellite shinin lose night darling right hold tight baby come whisper goodbye lose night little turn radio hear song play laugh word wrong bribe hold lose night darling right hold tight baby come whisper goodbye lose night heart beat time lose night darling hold tight baby come whisper goodbye lose night,65,0.103267377,0.067084706,0.000923361,0.146182737,0.000923361,0.018571309,0.351833954,0.000923361,0.000923361,0.107960954,0.000923361,0.093117053,0.000923361,0.000923361,0.000923361,0.000923361,0.585183581,0.774248135,0.074798268,2.58E-06,0.580585326,0.769762579,romantic,0.014285714
39422,midland,every song’s a drinkin’ song,2019,country,song drinkin song drinkin fast slow good buzz wanna raise glass cause song drinkin song drinkin lovers lovers brokenhearted brothers mothertruckers gettin high cowboys want jones bikers roll stone bartender say need fight cause song drinkin song drinkin fast slow good buzz cash trash cause song drinkin song drinkin jukebox choosy boozy quarter want grievance save need shut help sing cause song cause song drinkin song drinkin fast slow good buzz try raise hell cause song drinkin song drinkin come boys need drink double try right cause song drinkin song drinkin cline want wine cause song drinkin song drinkin,99,0.000785546,0.07024659,0.000785546,0.000785546,0.054982617,0.015212816,0.000785546,0.000785546,0.180272816,0.311291898,0.147858392,0.000785546,0.000785546,0.000785546,0.000785546,0.037191487,0.537528431,0.786913827,0.377509415,0,0.712489695,0.736728514,music,0.014285714
