,artist_name,track_name,release_date,genre,lyrics,len,dating,violence,world/life,night/time,shake the audience,family/gospel,romantic,communication,obscene,music,movement/places,light/visual perceptions,family/spiritual,like/girls,sadness,feelings,danceability,loudness,acousticness,instrumentalness,valence,energy,topic,age
63106,jordan rakei,mad world,2019,jazz,stay away motion madness stay away streets hide away moment makers hide away streets world world world world live yeah world live yeah world hide secrets complete stray away force stray away seat world world world world live yeah world live yeah world world world world world live yeah world live yeah world world world world world world world world world,61,0.000974659,0.000974659,0.700752727,0.000974659,0.114549447,0.000974659,0.000974659,0.000974659,0.000974659,0.000974659,0.022053783,0.000974659,0.000974659,0.000974659,0.148024159,0.000974659,0.584100509,0.735892111,0.032930756,5.14E-05,0.135408079,0.620608772,world/life,0.014285714
63107,soen,martyrs,2019,jazz,leave truth hand lead madness shape fate ones blame think mind single fool royalty evolve lament echo silent hide eye wordless ghost mankind tongueless criticize mass voice silent lose wall wait mistake provide fall spirit water fall suffocate fire harm hear prayers call embrace fall sons heal open wind bleed earth elite guide light vain idol prey servants change obey obey dream wander earth need frame inside praise tame leash restrain drown wonder build ash seed spirit water rain pour know essence spirit water fall suffocate fire harm hear prayers call embrace fall sons heal open wind bleed earth,99,0.000923361,0.30592653,0.000923361,0.000923361,0.000923361,0.000923361,0.000923361,0.072473292,0.000923361,0.000923361,0.000923361,0.087813918,0.133504968,0.000923361,0.305559526,0.000923361,0.566771364,0.733687152,0.002318275,0.019230769,0.21784831,0.87186787,violence,0.014285714
63108,devin townsend,genesis,2019,jazz,surrender receive receive say mind better dead madness come claim million years tell story take word fantasy worlds heart meet maker right alive beautiful beautiful light moon star monsters pain begin live genesis universe mind world feel fear fearless forever sail away island mind island mind know island home feet genesis feet self leave shut shut leave shut shut youth leave shut shut shut apart fall fee world light moon star monsters pain begin feel genesis,76,0.000923361,0.328728955,0.134167107,0.048133089,0.000923361,0.000923361,0.000923361,0.048857432,0.000923361,0.021674851,0.000923361,0.181520174,0.000923361,0.050147563,0.176613857,0.000923361,0.513700856,0.674845525,0.001123495,0.023582996,0.198268755,0.841836902,violence,0.014285714
63109,jamie berry,light up the night,2019,jazz,head come sway light night sight whoa whoa whoa spin feet touch grind high tonight cab july whoa whoa light night night night night night night night head come sway light night sight whoa whoa whoa spin feet touch grind high tonight cab july whoa whoa light night light night night night night night night night night night night night night night night night head come sway light night sight whoa whoa whoa spin feet touch grind high tonight cab july whoa whoa,83,0.000701754,0.000701754,0.000701754,0.313635097,0.200701754,0.000701754,0.000701754,0.000701754,0.000701754,0.000701754,0.000701754,0.474435078,0.000701754,0.000701754,0.000701754,0.000701754,0.733564389,0.723252058,0.013051218,0.190283401,0.631079967,0.882879225,night/time,0.014285714
63111,taylor mcferrin,memory digital,2019,jazz,want lovefuck cause want lovefuck cause girl consistent special mind know sound cool want believe tell go song world memory digital memory digital memory digital memory digital want lovefuck cause want lovefuck cause think time pass girl cause act like surprise step weren encounter baby look leave picture phone yeah know better memory digital memory digital memory digital memory digital memory digital memory digital memory digital,66,0.02437578,0.001096491,0.001096491,0.001096491,0.023550774,0.001096491,0.001096491,0.222551232,0.001096491,0.053372754,0.001096491,0.001096491,0.001096491,0.160971155,0.351264664,0.001096491,0.776887252,0.687767608,0.22489882,0.033805668,0.718672712,0.579566449,sadness,0.014285714
63112,dirty loops,work shit out,2019,jazz,better work shit like spend money like better work shit kill buzz send sorrys sunlight bring rain drop fall blame sparkle soak heat know insist sucker kiss sweet game like time bomb zombie morning wait night come forever want stop come love,42,0.001547988,0.001547988,0.001547988,0.12583397,0.001547988,0.001547988,0.105851078,0.001547988,0.588649878,0.001547988,0.001547988,0.001547988,0.001547988,0.001547988,0.045885578,0.001547988,0.56460522,0.632489808,0.042669722,0.047773279,0.218878813,0.792786321,obscene,0.014285714
63114,deca,donner bell,2019,jazz,donner ready table live watchin star fall like confetti slip worm hole spiral descend pleasures fleshcovered meat light fare heavy peeve splittin hairs like cure lethargy selfhelp book alchemist secret recipes frequency adjust stark contrast tripe fee public speakin sayin things uptick cherrypicked data graph sevenheaded firebreathin dragon flyin head speakin sirens blarin cry tire screechin divide conquer prosecute high treason unpackin ration young snatchin crumb pump action semiautomatic tongue lash food think form fragment fraction fashion tree life compassion freeze light deepest night throw custom pair shade sight wolves masquerade lamb decent bite pig crack skull like whackamole read right holdin cell earth outer crust explore inner worlds outer husk hide principalities power corrupt pick flesh eagle bone grind dust trust discussin chord music strike acoustic string human gut night muse pluck remove cuff loosen adjust antenna receive transmission future sound great line draw night come time wait broadcast live hear state policemen move demonstrators move forward shout police officer try explain certainly believe go success police unload helmets club hand shoot kill maleska hand chief easy alright need shoot officer tellin walk forward hand high brush teeth twice daily smile,192,0.000634115,0.473529433,0.09300335,0.099777134,0.000634115,0.000634115,0.000634115,0.000634115,0.078383641,0.000634116,0.000634115,0.153382655,0.032722831,0.039695651,0.000634115,0.000634116,0.673995451,0.753326667,0.379517449,0,0.504328112,0.844839999,violence,0.014285714
63116,cyrille aimee,loving you,2019,jazz,love choice love choice reason rejoice give purpose give voice world live live love things love control love goal leave life live love things love control love goal leave life live live,32,0.001949318,0.001949318,0.541261952,0.001949318,0.001949318,0.001949318,0.310343394,0.001949318,0.001949318,0.043103826,0.001949318,0.001949318,0.001949318,0.001949318,0.001949318,0.001949318,0.605761941,0.495577263,0.825301029,0.000869433,0.466199505,0.188162834,world/life,0.014285714
63117,nicki parrott,i will wait for you,2019,jazz,hear howl afar rush moment go scream wild darkness kill light remember run burn house tree remember run blind fear river flow beneath skin like savage horse keep waste sand like break diamonds hand remember run remember fall knees remember glide shore touch ocean floor river flow beneath skin like savage horse keep waste sand like break diamonds hand river grow inside river grow inside river grow inside river grow inside,71,0.000809717,0.358051232,0.151776723,0.000809717,0.000809717,0.000809717,0.000809717,0.000809717,0.000809717,0.000809717,0.059972868,0.157818314,0.000809717,0.025918243,0.000809717,0.000809717,0.431387415,0.554393252,0.954819232,0.218623482,0.224031327,0.179153543,violence,0.014285714
63118,devin townsend,spirits will collide,2019,jazz,okay word remember word calm remember young remember strong dues friend play foolish game friend rise fear pain forget love forget hard remember flame heart burn strong remember spirit collide remember remember death rise receive pain end forget perfect forget strong flame heart burn strong brave start remember spirit collide remember remember,52,0.001144165,0.038496197,0.500536485,0.001144165,0.001144165,0.001144165,0.027425292,0.001144165,0.001144165,0.001144165,0.001144165,0.119073675,0.081452535,0.001144165,0.218141673,0.001144165,0.313332611,0.655949542,0.002729922,0.000123482,0.320898599,0.675665546,world/life,0.014285714
