,artist_name,track_name,release_date,genre,lyrics,len,dating,violence,world/life,night/time,shake the audience,family/gospel,romantic,communication,obscene,music,movement/places,light/visual perceptions,family/spiritual,like/girls,sadness,feelings,danceability,loudness,acousticness,instrumentalness,valence,energy,topic,age
80774,unspoken,reason,2019,rock,year felt like season winter think feel reach climb second guess time plan purpose child forget hunger heart soul reason believe feel like give feel like give reason believe pull curtain heaven hand lyric commercial,35,0.001644737,0.001644737,0.474501042,0.001644737,0.001644737,0.001644737,0.001644737,0.001644737,0.001644737,0.001644737,0.001644737,0.131114565,0.001644737,0.104369814,0.067020184,0.090582734,0.684826167,0.804681691,0.022087372,0,0.975267931,0.798792515,world/life,0.014285714
80781,half•alive,arrow,2019,rock,life begin happen plan somethin tryna somebody plan changin rearrangin slow release control slow steady know life begin happen plan somethin tryna somebody plan changin rearrangin slow release control slow steady know hardest place lyric commercial,36,0.001879699,0.001879699,0.32874481,0.001879699,0.001879699,0.001879699,0.001879699,0.081368702,0.20574823,0.001879699,0.001879699,0.001879699,0.001879699,0.001879699,0.001879699,0.075208231,0.797465612,0.749275697,0.004988961,0.000106275,0.769167354,0.602590191,world/life,0.014285714
80782,andy grammer,wish you pain,2019,rock,doubt come like monsters terrorize dream feel lonely hopelessness cause believe question fear like poison get blood push breathe life line everybody watch fall cause know heart grow time break know sound strange wish pain wish pain hard lyric commercial,40,0.001422475,0.217556553,0.116166459,0.001422475,0.030352406,0.001422475,0.001422475,0.1801497,0.001422475,0.001422475,0.001422475,0.001422475,0.001422475,0.001422475,0.370103193,0.001422475,0.619841872,0.726841525,0.110440874,0,0.041323166,0.65063974,sadness,0.014285714
80784,ajr,beats,2019,rock,okay people laugh joke yeah strange success song play produce aisle someday hell okay famous friends song play produce aisle someday hell beat great record cost song pay beat beat great record cost song pay beat lyric commercial,38,0.001697793,0.001697793,0.001697793,0.001697793,0.037473354,0.044246544,0.001697793,0.001697793,0.327877463,0.274095143,0.001697793,0.001697793,0.124867598,0.001697793,0.001697793,0.001697793,0.572186722,0.729020845,0.019878534,0,0.660964551,0.682672772,obscene,0.014285714
80786,vampire weekend,sympathy,2019,rock,think bedroom firmly take hand isolation end begin understand pingpong match constant desire gonna ahead cause look mirror sympathy hear word enemies centuries lyric commercial,25,0.003095975,0.382334299,0.003095975,0.003095975,0.003095975,0.003095975,0.003095975,0.370802988,0.003095975,0.003095975,0.003095975,0.003095976,0.003095975,0.003095975,0.003095975,0.003095975,0.699989169,0.77301746,0.019978936,0.002327935,0.656842539,0.777770837,violence,0.014285714
80788,the score,the fear,2019,rock,whoaohoh whoaohoh whoaohoh whoaohoh whoaohoh whoaohoh whoaohoh whoaohoh knock demons creep round change shots runnin tell chain drive battle hard face mirror scar make deeper push cause stronger time stand stand hand hand fight fear fight fear rise grind gonna believer fight fear fight fear blood sweat tear pain taste sweeter whoaohoh whoaohoh fight fear lyric commercial,57,0.00131579,0.704861841,0.069891078,0.00131579,0.001315789,0.00131579,0.00131579,0.00131579,0.00131579,0.001315789,0.042261305,0.00131579,0.029482564,0.00131579,0.00131579,0.001315789,0.472544135,0.767838371,0.006886553,0,0.200329761,0.62861703,violence,0.014285714
80791,half•alive,runaway,2019,rock,search work trip perfect chase vision surface shirt backwards purpose yeah learn bigger expectation feet fail bless flow heaven star reflection redirect perfection progress lean truth inside promise hold life dream wanna see yeah need away need away yeah need away work heart turn vision clear learn plan tell need away stand stage mirror force face search escape scan exit embrace easy hold life dream wanna see yeah need away need away need away need away need away need away need away need away,84,0.000797448,0.000797448,0.284026633,0.000797448,0.247678294,0.021114118,0.000797448,0.000797448,0.000797448,0.000797448,0.000797448,0.081360044,0.000797448,0.000797448,0.318471514,0.000797448,0.665330878,0.770940697,0.003252011,0.000923077,0.596042869,0.594581933,sadness,0.014285714
80792,slenderbodies,belong,2019,rock,damn live life mean swear know greet hard breathe ceiling dream palaces countrysides want want want want morning light laugh break away city light hide dark cause belong belong yeah belong belong belong belong belong belong belong yeah yeah lyric commercial,41,0.001385042,0.001385042,0.104253052,0.001385042,0.087827423,0.001385042,0.001385042,0.001385042,0.042696203,0.122483923,0.001385042,0.136196484,0.001385042,0.001385042,0.318895325,0.001385042,0.748727391,0.726046714,0.871485815,0.001022267,0.834089035,0.567554062,sadness,0.014285714
80793,big daddy weave,alive,2019,rock,dead transgressions wander go search redemption road walk live flesh lose desire drown flood come save alive strong mighty reach rise alive lyric commercial,24,0.002631579,0.42445257,0.285501593,0.002631579,0.002631579,0.002631579,0.002631579,0.002631579,0.002631579,0.002631579,0.002631579,0.002631579,0.06848023,0.002631579,0.002631579,0.059579656,0.492039424,0.771427839,9.35E-05,0,0.381698269,0.783777031,violence,0.014285714
80794,the national,light years,2019,rock,wait outside lay soak feet start know go lose hard reach lightyears lightyears away lightyears lightyears away think mother weekend anybody dark light shadow right know lose hard reach lightyears lightyears away lightyears lightyears away lightyears lightyears away lightyears lightyears away,41,0.001879699,0.001879699,0.001879699,0.046676555,0.001879699,0.001879699,0.001879699,0.103715524,0.001879699,0.001879699,0.001879699,0.187474363,0.038469435,0.001879699,0.570226854,0.0018797,0.522365428,0.61510653,0.953815215,0.708502024,0.153957131,0.316294963,sadness,0.014285714
